127.0.0.1 - - [25/Nov/2015:11:57:44 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:46 -0600] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:46 -0600] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:46 -0600] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:46 -0600] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 200 266057
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:46 -0600] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 200 56478
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:46 -0600] "GET /FitnessTracker/assets/ico/favicon.ico HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:51 -0600] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:54 -0600] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:55 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:57:58 -0600] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:01 -0600] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:01 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:02 -0600] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:02 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:03 -0600] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:03 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:04 -0600] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:04 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:05 -0600] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3347
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:05 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:09 -0600] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:09 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:11 -0600] "POST /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:11 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:15 -0600] "POST /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:15 -0600] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:15 -0600] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:15 -0600] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:15 -0600] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:15 -0600] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:58:58 -0600] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:59:02 -0600] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:59:02 -0600] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2015:11:59:02 -0600] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 304 -
